Post Link,Title,CreationDate,AcceptedAnswerId,Score,ViewCount,Tags,Body,TagName
"46399","How exactly is the dynamical unfolding implemented in ByteNet?","2024-08-02 00:24:41","","1","29","<convolutional-neural-networks><reference-request><papers><language-model><byte-net>","<p>I am thinking about making use of ByteNet (<a href=""https://arxiv.org/abs/1610.10099"" rel=""nofollow noreferrer"">https://arxiv.org/abs/1610.10099</a>) architecture for a project, and would like to get a better understanding of how the model works.</p>
<p>I've read through the paper about a million times, but can't figure out how exactly the dynamical unfolding is implemented.</p>
<p>I understand that the input sequence is mapped to a longer intermediate representation, whose length is a function of the input length, but don't understand how 1×1 convolutional layers are able to do this.</p>
<p>I am also unclear on how input sequences can be of variable length without any recurrence.</p>
<p>Any help would be appreciated! Or of anyone knows of any good YouTube videos that explain it, that would also be helpful.</p>
","language-model"
"46054","How is the bidirectional context achieved in BERT?","2024-06-23 11:11:39","46212","0","49","<transformer><attention><gpt><bert><language-model>","<p>I have read the paper &quot;BERT: Pre-training of Deep Bidirectional Transformers for Language Understanding&quot; by Jacob Devlin et al. (2018) and &quot;Improving Language Understanding by Generative Pre-training&quot; by Alec Radford et al. (2018).</p>
<p>I have understand that the largest difference between BERT and GPT is the direction of the context. BERT is bidirectional, while GPT is unidirectional. I have understand the difference visually thorugh Figure 3 of the BERT paper.
However, I have question about how the difference is achieved in more detailed level, such as implementation level. I have understand that the shortest way is to look at the code, but I am wondering if there is any explanation in the paper.
Especially, I am wondering how multiple outputs from previous transformer layers are combined as the input of the next layer in BERT (or so does GPT).</p>
<p>I have also looked at the paper &quot;Attention is All You Need&quot; by Vaswani et al. (2017) and found the following equation
<span class=""math-container"">$$ Attention(Q, K, V) = softmax(\frac{QK^T}{\sqrt{d_k}})V $$</span>
, but I am not sure about where does it implies the unidirectional context in the transformer architecture. (I think original transformer is unidirectional.)</p>
<p>I would appreciate it if you could explain how the bidirectional context is achieved in BERT.</p>
","language-model"
"45902","Any popular diffusion model for language modeling?","2024-06-06 07:28:33","","4","62","<natural-language-processing><large-language-models><diffusion-models><language-model>","<p>Is there a popular diffusion model-based framework for language modelling? If not, is it because of the difficulty sampling for discrete distributions?</p>
","language-model"
"45206","What type of AI model should I use to generate practice questions?","2024-03-22 23:42:16","","0","41","<ai-design><generative-model><language-model>","<p>I have a set of multiple choice English questions, and I wanted to use AI to generate more questions to quiz myself with. I know there are platforms online to accomplish this, but I wanted to challenge myself to create my own simple AI architecture. After training it on some English questions, I want it to be able to generate new questions to help me study.</p>
<p>Which ML/intelligence model(s) should I use as a baseline?</p>
","language-model"
"45054","Why do LLM tokenizers use a special symbol for space such as Ġ in BPE or ▁ in SPM?","2024-03-08 08:55:04","","1","197","<natural-language-processing><large-language-models><language-model>","<p>Popular tokenizers use a special symbol such as &quot;Ġ&quot; (BPE) or &quot;▁&quot; (SentencePiece) to represent space. What is the reasoning behind this?</p>
<p>I did try searching for the answer. I got two types of explanations, but they don't explain anything to me.</p>
<p><strong>Some languages such as Japanese don't typically use space to separate words.</strong></p>
<p>That's true, but tokenizing such a language won't make use of the special character as well. I don't understand how having a token as <code>&quot;Ġhorse&quot;</code> is any different from <code>&quot; horse&quot;</code> in this scenario.</p>
<p>Let's assume we want to tokenize the made-up laguage Spaceless English, which is English, but without whitespace. <code>tokenize(&quot;I'mridingahorse&quot;) -&gt; [&quot;I'm&quot;, &quot;riding&quot;, &quot;ahorse&quot;]</code>. No need for spaces at all, let alone a special character.</p>
<p>In fact this seems like it would be in favor of using a plain space as opposed to a special symbol.</p>
<p><strong>Some tokens have a space in them and this helps us differentiate between spaces in the original text and spaces in the tokens</strong></p>
<p>For example &quot;New York&quot; might be a token.</p>
<p>This kinda makes sense, but I still don't quite get why we would ever need this distinction. How is <code>&quot;ĠNew York&quot;</code> different from <code>&quot; New York&quot;</code>? <code>&quot; New York&quot;</code> is still different from <code>[&quot; New&quot;, &quot; Toronto&quot;]</code>. A tokenizer would employ some kind of a greedy algorithm to tokenize text... and even if it's not greedy, but the full NP-complete search, it would still tokenize <code>&quot;I'm going to New York&quot;</code> as <code>[&quot;I'm&quot;, &quot; going&quot;, &quot; to&quot;, &quot; New York&quot;]</code>, the same way as we would expect it to tokenize &quot;extracurricular&quot; to say <code>[&quot;extra&quot;, &quot;curricul&quot;, &quot;ar&quot;]</code> and not to <code>[&quot;ex&quot;, &quot;trac&quot;, &quot;u&quot;, &quot;rr&quot;, &quot;ic&quot;, &quot;u&quot;, &quot;lar&quot;]</code>, and the same way as we would expect it to work on Spaceless English.</p>
<p>Note that I'm looking at the problem only through the lens of converting text to tokens and tokens to text. Perhaps the need for these character has to do with creating the token list based on the training corpus?</p>
","language-model"
"44943","What technique is used for training Large Language Models like GPT?","2024-02-28 03:06:16","","1","354","<machine-learning><natural-language-processing><unsupervised-learning><gpt><language-model>","<p>I'm learning about GenAI, such as GPT (Generative Pretrained Transformer), and I'm particularly interested in understanding the training techniques used for these models.</p>
<p>Deep learning, generally, can involve training with supervised learning with labeled datasets which makes sense.  But I also encounter references to unsupervised learning: specifically, predicting the next word in a sequence. The concept of unsupervised training with next-word prediction is unclear to me. To me, it feels like GPT is trained with supervised learning with a labeled dataset: is this correct?</p>
","language-model"
"43843","What language model can convert normal text to JSON data","2024-02-20 05:32:39","43855","0","229","<natural-language-processing><language-model><natural-language-understanding>","<p>I have tried training T5-small, T5-base and T5-Large on around 15K rows of data where input data was something like but I did not get desired results</p>
<pre><code>Nutrition Facts,
100g per,
Energy 646.95Kcal Carbohydrates 19.31g,
 Protein 21.94g 53.55g Total Fat 6.64g Saturated Fat 14.97g Dietary Fiber,
&lt;1.Omg Cholesterol Sodium 0.29g Sugars 3.39g,
Lightly Salted and to Perfection,
Ingredients: Peanuts, Almonds,,
Cashews, Pistachios, Vegetable Oil, Salt,
aa, ,
74G,
Pistachio, 61129110611336177
WE ARE NUTS ABOUT QUALITY,
Baked,
Nuts Salted,
Mixed
WE ARE NUTS ABOUT,
Community 364, 13 Street Plot No. 36,
Al Area 1, 24149,UAE 4971 4 3355777,
License Number: 224614 VAT No: 100058529700003,
CERTIFIED COMPANY,
ALLERGEN WARNING: in a facility that also processes nuts, sesame and mustard,
Store in a cool dry place away from heat moisture,
Instruction Once store in airtight container and consume before expiry date,
Pro: 14/12/23,
Exp:13/12/24,
Net 40gms
</code></pre>
<p>Output data will be in JSON format of the above details.
What language models can be trained for this purpose and minimum how many Parameters it should have?</p>
","language-model"
"43508","Seeking an LLM with Browser Control Capabilities for Website Interaction Use Cases","2024-01-22 09:22:28","","0","112","<language-model>","<p>I'm exploring the possibility of using a large language model (LLM) that can interact with web browsers, including taking screenshots and controlling mouse and keyboard actions.  Does anyone know of an LLM capable of such functionalities? Any guidance or pointers to relevant resources?</p>
","language-model"
"43408","publically available language models that can be used to train arbitrary language data?","2024-01-12 08:00:09","","1","39","<natural-language-processing><large-language-models><chatgpt><language-model>","<p>I have sentence data in a language that is not widely in use and as such popular LLMs do not support the language. I want to train some language model such that given some question, it is able to respond back in the same language, just as in ChatGPT just with a different language.</p>
<p>In such a case, what language model is publically available and is sufficiently powerful? Or would it be possible to use popular LLMs (such as ChatGPT) to achieve such a goal?</p>
","language-model"
"43038","Is beam search the actual obstacle that prevents GPT-style models from doing sophisticated math reasoning?","2023-12-07 05:10:47","","4","249","<natural-language-processing><large-language-models><language-model><automated-theorem-proving><automated-reasoning>","<p>This is a rather soft question. Some people believe that GPT-style models can eventually solve very complex math problems if the models are large enough, but I'm skeptical about this. Suppose the GPT model is indeed large enough and can make very accurate predictions about the probabilities of the next token. Now we let it solve an extremely hard math problem, e.g. proving the Riemann Hypothesis. Proof length is not an obstacle, since the model can generate lots of tokens and therefore gains a lot of computational resources.</p>
<p>I think the most serious obstacle is how to generate the most likely <em>proof</em>, instead of the most likely <em>next token</em>. The bad thing is, that a proof might seem very plausible in the beginning, but may look more and more ridiculous as more tokens are generated. So, greedy decoding does not necessarily work; that's why people came up with beam search. But, beam search is also kind of greedy, and it also does not guarantee to produce the global optimal proof.</p>
<p>There may be extreme cases in which the optimal proof is among the top k+1 candidates but our beam size is k so it's not adopted. Therefore, the problem degenerates to a classic computational complexity problem: how on earth can we find the optimal generated sequence? This seems to be rather irrelevant to LLMs.</p>
<p>This problem is clearly in NP since its corresponding decision problem is: <em>given a scheme to generate the next token probabilities, can we generate a sequence with length as most l and log-likelihood at least p?</em> This decision problem can be verified in polynomial time by providing a satisfying sequence. I suspect this problem is NP-complete but I don't know how to prove it yet.</p>
<p>So, I conjecture that, unless P=NP, we can't use GPT-style LLMs to solve really hard math problems. Do you think so?</p>
","language-model"
