Post ID,Title,CreationDate,Score,ViewCount,CommentCount,AnswerCount,FavoriteCount,AcceptedAnswerId,Body
"128109","Top_p parameter in langchain","2024-03-01 16:16:59","1","135","0","1","","128117","<p>I am trying to understand the <code>top_p</code> parameter in langchain (nucleus sampling) but I can't seem to grasp it.
Based on <a href=""https://www.linkedin.com/pulse/science-control-how-temperature-topp-topk-shape-large-puente-viejo-u88yf/"" rel=""nofollow noreferrer"">this</a> we sort the probabilities and select a subset that exceeds p and concurrently has the fewer members possible.<br />
For example for:</p>
<pre><code>t1 =0.05
t2 = 0.5
t3 = 0.3
t4 = 0.15
</code></pre>
<p>and <code>top_p=0.75</code> we would select <code>t2</code> and <code>t3</code>, right?</p>
<p>If this is the case what happens if <code>top_p=0.001</code>?<br />
We just need one token and any one of these is enough.<br />
Do we select the biggest one (<code>t2</code>)? (based on my experience this makes sense, since i tested <code>top_p=0.001</code> on an LLM and the output was coherent, so since we select only one token if it was a random token with <code>probability &gt;0.001</code> the output should be garbage).</p>
"
"126493","Transformers Trainer: ""RuntimeError: module must have its parameters ... on device cuda:6 (device_ids[0]) but found one of them on device: cuda:0""","2024-01-19 15:25:08","0","677","0","1","","126494","<p>I ask this since I could not fix it with the help of:</p>
<ul>
<li>Stack Overflow <a href=""https://stackoverflow.com/q/59249563/11154841"">RuntimeError: module must have its parameters and buffers on device cuda:1 (device_ids[0]) but found one of them on device: cuda:2</a> or</li>
<li>Stack Overflow <a href=""https://stackoverflow.com/q/71278607/11154841"">Pytorch : Expected all tensors on same device</a>.</li>
</ul>
<h3>Juypter Notebook server</h3>
<p>I am on a Jupyter Notebook server, therefore, bash code starts with &quot;!&quot;.</p>
<p>You have to <em>begin</em> with the following line in the <em>same</em> Jupyter Notebook cell in which you build the model. Mind that it does not seem to work if you change the environment variable with
<code>import os</code> and then <code>os.environ['CUDA_VISIBLE_DEVICES'] = '6,3,7,2'</code>, and others ran into the same, see <a href=""https://github.com/pytorch/pytorch/issues/9158#issuecomment-665513010"" rel=""nofollow noreferrer"">setting CUDA_VISIBLE_DEVICES just has no effect #9158</a>.</p>
<pre class=""lang-py prettyprint-override""><code>!export CUDA_VISIBLE_DEVICES='6,3,7,2'
</code></pre>
<p>After changing the model to a DataParallel model, memory should then be spread among GPUs 4,5,6,7. If you ask why the code lists 6,3,7,2 even though it will then work on 4,5,6,7, see <a href=""https://datascience.stackexchange.com/q/126490/97556"">&quot;model.to('cuda:6')&quot; becomes (nvidia-smi) GPU 4, same with any other &quot;cuda:MY_GPU&quot;, only &quot;cuda:0&quot; becomes GPU 0. How do I get rid of this mapping?</a>.</p>
<p>*The outcome is also without GPU 7 (just 4,5,6), perhaps since it was not needed, and it is not the question since my main aim is to avoid the GPUs 1,2,3 since these are needed for another project.
I would also like to spare GPU 0 so that I have only 4,5,6,7, but that is not an urgent need. In short: if you do not face the same mapping problem (6,3,7,2 -&gt; 4,5,6,7), go on with your working setup, but if you have it, check the other link. The right mapping is not the question here.</p>
<h3>Code</h3>
<h4>Main model (run on some chosen GPUs)</h4>
<p>Here is how I build the model.</p>
<pre><code>!export CUDA_VISIBLE_DEVICES='6,3,7,2'

from transformers import (AutoTokenizer, AutoModelForCausalLM, AutoConfig, TextDataset, 
    DataCollatorForLanguageModeling, Trainer, TrainingArguments)

def get_model(model_name):

    #### from transformers import GPT2LMHeadModel, GPT2Tokenizer
    # Load pre-trained model and tokenizer
    tokenizer = AutoTokenizer.from_pretrained(model_name)
    model = AutoModelForCausalLM.from_pretrained(model_name)
    return tokenizer, model

import torch
device = torch.device('cuda:6')
print(torch.cuda.device_count())
torch.cuda.set_device(device)

model_name = &quot;dbmdz/german-gpt2&quot;
tokenizer, model = get_model(model_name)
config = model.config
print(next(model.parameters()).device)
device_ids = [6,3,7,2]
model = torch.nn.DataParallel(model, device_ids=device_ids)
print(model.device_ids)
print(next(model.parameters()).device)
</code></pre>
<p>Out:</p>
<pre class=""lang-py prettyprint-override""><code>8
cpu
[6, 3, 7, 2]
cuda:0
cpu
</code></pre>
<h4>Fine-tuning model with the Transformers Trainer class</h4>
<pre class=""lang-py prettyprint-override""><code>def make_finetuned_model(tokenizer, model, file_path='myfile.txt', model_name=&quot;fine-tuned-model&quot;, bln_truncation=True,
                        num_train_epochs=1, per_device_train_batch_size=1, save_steps=10_000):
        
    train_dataset = TextDataset(
        tokenizer=tokenizer,
        file_path=file_path,
        block_size=512,
        overwrite_cache=True,
    )
    
    print(next(model.parameters()).device)
    data_collator = DataCollatorForLanguageModeling(tokenizer=tokenizer, mlm=False)
    
    print(next(model.parameters()).device)

    model_folder = f&quot;./{model_name}&quot;
    
    # Define the Trainer
    trainer = Trainer(
        model=model.to('cuda:6'), # &quot;model=model&quot; should run through as well
        args=TrainingArguments(
            output_dir=model_folder,
            overwrite_output_dir=True,
            num_train_epochs=num_train_epochs,
            per_device_train_batch_size=per_device_train_batch_size,
            save_steps=save_steps,
        ),
        data_collator=data_collator,
        train_dataset=train_dataset,
    )
    model.to('cuda:6')
    print(next(model.parameters()).device)

    # Fine-tune the model
    trainer.train()
    
    # Save the model and tokenizer to the fine-tuned model directory
    # This is needed since the model config and tokenizer need to be loaded at any load
    # Since the fine-tuned model wrapped with DataParallel, save the underlying model with:
    model.module.save_pretrained(model_folder)
    tokenizer.save_pretrained(model_folder)

make_finetuned_model(tokenizer, model, file_path='myfile.txt', 
                     model_name=&quot;fine_tuned_model&quot;, bln_truncation=True,
                        num_train_epochs=1, per_device_train_batch_size=1, save_steps=10_000)
</code></pre>
<p>Out:</p>
<pre class=""lang-py prettyprint-override""><code>cuda:6
cuda:6
cuda:0
cuda:0
</code></pre>
<p>Thus, building the trainer object resets the device to &quot;cuda:0&quot; no matter what you wrote, see the third printout <code>cuda:0</code> after it has been <code>cuda:6</code> before. I checked the Huggingface thread <a href=""https://discuss.huggingface.co/t/setting-specific-device-for-trainer/784/22"" rel=""nofollow noreferrer"">Setting specific device for Trainer</a> which is open and busy since August 2022 (!).</p>
<p>Since I chose four other GPUs and GPU 0 comes on top, the error is thrown.</p>
<h3>Question</h3>
<p>The Transformers Trainer class will always set the device to &quot;cuda:0&quot;. How do I get rid of the errors:</p>
<blockquote>
<p>RuntimeError: module must have its parameters and buffers on device cuda:6 (device_ids[0]) but found one of them on device: cuda:0</p>
</blockquote>
<p>and during the same code work, but more seldomly, and I do not know how to get this error back, code is lost:</p>
<blockquote>
<p>RuntimeError: Expected all tensors to be on the same device, but found at least two devices, cuda:0 and cuda:4! (when checking argument for argument index in method wrapper_CUDA__index_select)</p>
</blockquote>
"
"126393","How does RAG query affect the similarity search?","2024-01-12 20:26:47","0","133","0","1","","126400","<p>I have a RAG pipeline where I want to extract a piece of information called <code>&quot;X&quot;</code> In a regular RAG pipeline, there is a query entered by the user. Then, this query will be embedded, and the resulting embedding vector will be compared by some metric (cosine similarity) to other embeddings of the saved documents.</p>
<p>If I write the query like this: <code>&quot;What information does this document contain about X?&quot;</code>. The result from the similarity search should be worse than using a query containing just <code>&quot;X&quot;</code></p>
<p>My question is: why is the entered query in a question form? And if it is not in question form, will it produce better or worse results, and why?</p>
"
"124995","Understanding processors in huggingface tokenizer library","2023-12-10 20:59:51","1","50","0","1","","125008","<p>tl;dr
What are the <code>:0</code> and <code>:1</code> in the following huggingface processors reference usage given on their <a href=""https://huggingface.co/learn/nlp-course/chapter6/8?fw=pt#:%7E:text=and%20overflowing.-,The,-last%20step%20in"" rel=""nofollow noreferrer"">page</a>:</p>
<pre><code>tokenizer.post_processor = processors.TemplateProcessing(
    single=f&quot;[CLS]:0 $A:0 [SEP]:0&quot;,
    pair=f&quot;[CLS]:0 $A:0 [SEP]:0 $B:1 [SEP]:1&quot;,
    special_tokens=[(&quot;[CLS]&quot;, cls_token_id), (&quot;[SEP]&quot;, sep_token_id)],
)
</code></pre>
<p>Here the <code>cls_token_id</code> is 2 and <code>sep_token_id</code> is 3</p>
<p>Description:
Post you train a tokenizer using the huggingface library you have to then add a postprocessr for things like adding the [CLS] token at the beginning of every sentence.</p>
<p>The following is an example from their documentation</p>
<p><a href=""https://i.sstatic.net/7KxGT.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/7KxGT.png"" alt=""enter image description here"" /></a></p>
<p>Can you help me understand what purpose are the <code>:0</code> and <code>:1</code> serving?</p>
"
"124733","Purely extractive Language Model","2023-11-24 11:00:36","0","142","1","1","","124735","<p>Given an email thread, I am trying to extract the body of the most recent email.</p>
<p>I used to do that with rules. Now I am testing Large Language Models (LLM) to see if I they provide a less ad hoc solution.</p>
<p>Mistral-7B-Instruct, for instance, seems to understand the task and provides acceptable outputs most of the time.</p>
<p>However, in some cases, it explains the email rather than just copy/paste the relevant chunk.</p>
<p>I have tried dozens of prompts, for instance:</p>
<pre><code>instruction = 'Given the email thread bellow the dotted line, extract verbatim the body of the most recent (top) message. Remove all headers, footers and disclaimers. In your response, do not add any text that was not present in the original message'
</code></pre>
<p>And tried to prevent hallucinations by setting the following:</p>
<pre><code>    generation_output = model.generate(
        model_inputs,
        do_sample=True,
        temperature=0.0000001,
        top_p=0.0000001,
        top_k=1,
        max_new_tokens=words
        )
</code></pre>
<p>However, in a few cases, the model still adds explanations and/or hallucinates a bit.</p>
<p>My questions are the following:</p>
<ol>
<li><p>Are you aware of any models that could do a better job without fine-tuning? For instance, purely extractive models (as opposed to generative ones).</p>
</li>
<li><p>If generative models are the way to go, is there a way to force the model to just copy/paste?</p>
</li>
</ol>
<p>Best,</p>
<p>Ed</p>
"
"123062","Why cant we use normalise position encodings instead of the cos and sine encodings used in the Transformer paper?","2023-08-03 09:14:56","2","1072","2","2","","123065","<p>I'm working with Transformer models for sequence-to-sequence tasks and I'm trying to fully understand the use of positional encodings in these models.</p>
<p>In the original &quot;Attention is All You Need&quot; paper by Vaswani et al., positional encodings are implemented using a mix of sine and cosine functions of different frequencies. I understand that these sinusoidal functions provide a unique encoding for each position and that they allow the model to learn to attend to relative positions in a way that is translation invariant.</p>
<p>While going through this <a href=""https://towardsdatascience.com/master-positional-encoding-part-i-63c05d90a0c3"" rel=""nofollow noreferrer"">blog</a>.</p>
<p>However, I'm wondering why we couldn't simply use normalized positional encodings instead. For example, we could divide the position of each word in the sequence by the maximum sequence length to get a unique positional encoding for each word that falls within a range from 0 to 1. We could handle sequences shorter than the maximum length with padding.</p>
<p>This approach seems more straightforward and it might make training faster or more stable due to the normalized range of the encodings.</p>
<p>Mathematically, for a given position p in a sequence, and a maximum sequence length L, the normalized positional encoding E would be:</p>
<p>E(p) = p / L</p>
<p>The encodings would be unique for each index position and we can easily map the relation positions since the relationship would be linear.</p>
<p>One of the main arguments against this is that we wont be able to handle different sequence lengths since 4/5 and 16/20 would have same ratio but while training we set a max length and the ratios would be the same since padding is incorporated if the sequence is small so the ratios would be the same in all instances and I think that argument doesn't hold.</p>
"
"123002","How to measure accuracy of GPT model","2023-07-29 17:34:29","1","705","0","1","","123003","<p>I am working on a model to build questions automatically from some text</p>
<p>My model will analyse provided article and ask authors questions that can help improving their articles</p>
<p>How can we measure the accuracy of these ML-generated questions?</p>
<p>There is the relevance part of the questions as these questions represent an area of improvement in the article</p>
<p>How to measure that?</p>
<p>Any previous work on similar models would be a great help too</p>
<p>Thanks</p>
"
"122498","How was the token library constructed for ChatGPT / other GPT systems?","2023-06-30 18:27:29","2","166","0","1","","122499","<p>I have found literally hundreds of articles on Google with titles like 'What are tokens and how to use them,' but haven't been able to find any information at all on how the token libraries themselves were made. OpenAI state that GPT-3.5 uses a token library of 50,257 tokens, which presumably can represent any string in their training library. But how were these tokens selected? I assume there was some kind of optimization algorithm that found the most common strings in the training library? Was the tokenizer trained alongside the GPT models to optimize both for one another? There are a lot of strange cases, particularly around how spaces are handled (see below for a few examples I made of closely related words represented by different tokens), so I'm really curious what the methodology of making a token set is. Obviously how tokens are made will have a huge impact on how the system as a whole performs, yet unlike the attention mechanism very little seems to have been written about it.</p>
<p><a href=""https://i.sstatic.net/fbIF7.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/fbIF7.png"" alt=""enter image description here"" /></a></p>
"
"121782","Some simple questions about confusion matrix and metrics in general","2023-05-26 16:07:54","2","1139","2","2","","121787","<p>I will first tell you about the context then ask my questions.</p>
<p>The model detects hate speech and the training and testing datasets are imbalanced (NLP).</p>
<p>My questions:</p>
<ol>
<li>Is this considered a good model?</li>
<li>Is the False negative really bad and it indicates that my model will predict a lot of ones to be zeros on new data?</li>
<li>Is it common for AUC to be higher than the recall and precision when the data is imbalanced?</li>
<li>Is the ROC-AUC misleading in this case because it depends on the True Negative and it is really big? (FPR depends on TN)</li>
<li>For my use case, what is the best metric to use?</li>
<li>I passed the probabilities to create ROC, is that the right way?</li>
</ol>
<p><a href=""https://i.sstatic.net/59Z1Z.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/59Z1Z.png"" alt=""enter image description here"" /></a></p>
<p><strong>Edit:
I did under-sampling and got the following results from the same model parameters:</strong>
<a href=""https://i.sstatic.net/kebJh.png"" rel=""nofollow noreferrer""><img src=""https://i.sstatic.net/kebJh.png"" alt=""enter image description here"" /></a></p>
<p><strong>Does this show that the model is good? or can it be misleading too?</strong></p>
"
"120726","What should the numerical values of the <startofsentence> and <endofsentence> token vectors be?","2023-04-05 11:53:38","1","154","1","1","","120979","<p>I'm trying to build GPT2 from scratch. I understand how to convert each word in a sentence to its respective token index and each token is then converted to its respective word embedding vector. I also understand there needs to be a fixed length for each input vector e.g. the max length of all sentences input into the transformer are 50 tokens, and for all sentences shorter than that padding token vectors consisting of nothing but zeroes fill the space where the additional word vectors would be.</p>
<p>I get that each input vector needs to have a start token at the beginning of the input vector, as well as a stop token after the last word and before the padding vectors. The integer values corresponding to the start and stop token indexes are somewhat arbitrary, but I still don't understand what the actual values of the start and stop token embeddings should be. Should they just also be vectors of zeroes? Are these values also arbitrary?</p>
"
